    ,predict            ,ground_truth
161 ,32.356590270996094 ,32.60000228881836
162 ,32.39959716796875  ,32.60000228881836
163 ,32.38846969604492  ,32.70000076293945
164 ,32.481231689453125 ,32.70000076293945
165 ,32.417320251464844 ,32.60000228881836
166 ,32.35581588745117  ,32.60000228881836
167 ,32.39116668701172  ,32.60000228881836
168 ,32.37731170654297  ,32.5
169 ,32.26211166381836  ,32.400001525878906
170 ,32.18489456176758  ,32.29999923706055
171 ,32.08987045288086  ,32.20000076293945
172 ,32.02635955810547  ,32.10000228881836
173 ,32.00484085083008  ,31.899999618530273
174 ,31.772462844848633 ,32.0
175 ,31.993555068969727 ,32.10000228881836
176 ,32.04741668701172  ,32.20000076293945
177 ,32.11582946777344  ,32.20000076293945
178 ,32.07288360595703  ,32.20000076293945
179 ,32.08146286010742  ,32.20000076293945
180 ,32.119850158691406 ,32.29999923706055
181 ,32.16725540161133  ,32.400001525878906
182 ,32.28400802612305  ,32.400001525878906
183 ,32.277225494384766 ,32.400001525878906
184 ,32.22175216674805  ,32.400001525878906
185 ,32.246337890625    ,32.29999923706055
186 ,32.100624084472656 ,32.29999923706055
187 ,32.173805236816406 ,32.29999923706055
188 ,32.171424865722656 ,32.20000076293945
189 ,32.06258010864258  ,32.20000076293945
190 ,32.08176040649414  ,32.20000076293945
191 ,32.09450149536133  ,32.20000076293945
192 ,32.1043586730957   ,32.20000076293945
193 ,32.10801696777344  ,32.20000076293945
194 ,32.08243942260742  ,32.20000076293945
195 ,32.05766677856445  ,32.20000076293945
196 ,32.10716247558594  ,32.0
197 ,31.882726669311523 ,31.899999618530273
198 ,31.864933013916016 ,31.899999618530273
199 ,31.90875244140625  ,31.899999618530273
200 ,31.9123477935791   ,31.899999618530273
201 ,31.850027084350586 ,31.899999618530273
202 ,31.922014236450195 ,31.80000114440918
203 ,31.795995712280273 ,31.899999618530273
204 ,31.938213348388672 ,32.10000228881836
205 ,32.05247497558594  ,32.20000076293945
206 ,32.112796783447266 ,32.29999923706055
207 ,32.17892837524414  ,32.5
208 ,32.34986877441406  ,32.60000228881836
209 ,32.36326599121094  ,32.60000228881836
210 ,32.37994384765625  ,32.60000228881836
211 ,32.36506652832031  ,32.60000228881836
212 ,32.348201751708984 ,32.79999923706055
213 ,32.59000015258789  ,32.900001525878906
214 ,32.679725646972656 ,32.900001525878906
215 ,32.60697555541992  ,32.900001525878906
216 ,32.56363296508789  ,32.900001525878906
217 ,32.539833068847656 ,33.0
218 ,32.64296340942383  ,33.0
219 ,32.65550994873047  ,33.20000076293945
220 ,32.8799934387207   ,33.20000076293945
221 ,32.82677459716797  ,33.29999923706055
222 ,32.87089157104492  ,33.29999923706055
223 ,32.86280059814453  ,33.400001525878906
224 ,32.98268127441406  ,33.400001525878906
225 ,32.88816452026367  ,33.400001525878906
226 ,32.90843200683594  ,33.400001525878906
227 ,32.95975875854492  ,33.400001525878906
228 ,32.917850494384766 ,33.400001525878906
229 ,32.916114807128906 ,33.5
230 ,33.07716751098633  ,33.5
231 ,33.06489944458008  ,33.400001525878906
232 ,32.89369583129883  ,33.29999923706055
233 ,32.882568359375    ,33.20000076293945
234 ,32.77733612060547  ,33.20000076293945
235 ,32.817874908447266 ,33.20000076293945
236 ,32.835750579833984 ,33.29999923706055
237 ,32.91896057128906  ,33.400001525878906
238 ,32.9710693359375   ,33.5
239 ,33.028255462646484 ,33.5
240 ,33.01467514038086  ,33.5
241 ,33.01823806762695  ,33.400001525878906
242 ,32.91481018066406  ,33.5
243 ,33.02656555175781  ,33.400001525878906
244 ,32.93088150024414  ,33.400001525878906
245 ,33.00701141357422  ,33.400001525878906
246 ,32.97439193725586  ,33.5
247 ,33.10091781616211  ,33.29999923706055
248 ,32.775970458984375 ,33.29999923706055
249 ,32.86088943481445  ,33.20000076293945
250 ,32.79891586303711  ,33.10000228881836
251 ,32.732513427734375 ,33.0
252 ,32.5811882019043   ,33.0
253 ,32.678558349609375 ,33.20000076293945
254 ,32.88419723510742  ,33.10000228881836
255 ,32.680015563964844 ,34.29999923706055
256 ,34.08961486816406  ,34.79999923706055
257 ,34.27197265625     ,36.79999923706055
258 ,36.495086669921875 ,38.70000076293945
259 ,38.14813995361328  ,39.400001525878906
260 ,38.49357223510742  ,39.900001525878906
261 ,38.94437026977539  ,40.10000228881836
262 ,39.03284454345703  ,40.10000228881836
263 ,38.991615295410156 ,40.10000228881836
264 ,38.977142333984375 ,40.10000228881836
265 ,39.02005386352539  ,40.400001525878906
266 ,39.3234977722168   ,40.79999923706055
267 ,39.70973587036133  ,41.0
268 ,39.841060638427734 ,40.10000228881836
269 ,38.91490173339844  ,38.60000228881836
270 ,37.587066650390625 ,37.79999923706055
271 ,36.977149963378906 ,37.29999923706055
272 ,36.51972579956055  ,37.29999923706055
273 ,36.66378402709961  ,37.29999923706055
274 ,36.633724212646484 ,37.29999923706055
275 ,36.64144515991211  ,37.400001525878906
